Entrez ID,FLRoot_COL00_1,GCRoot_COL00_1,FLRoot_COL00_2,GCRoot_COL00_2,FLRoot_COL00_3,GCRoot_COL00_3,FLRoot_COL00_4,GCRoot_COL00_4
839181,9.0085,2,9.0264,2,8.8279,2,9.0005,2.3132
817626,9.9861,5.6478,9.5821,3.7877,9.4662,4.7569,10.2938,3.7759
818780,7.4399,3.3151,9.3419,3.5294,8.8249,3.5865,9.3907,3.2955
825184,8.8317,2,7.0383,2.8112,4.1574,2.5857,8.7827,3.4314
831173,7.8511,3.0815,7.1203,2,7.4643,3.0012,8.0677,2.5704
819053,8.0582,3.3151,6.4512,2,3.3869,4.0892,8.364,2.3132
829327,6.4461,2,6.1276,2,5.5662,2,7.7771,2
823196,2,2,2,2,8.5998,2,2,2
838504,8.2342,8.5831,3.5473,2.9585,7.1068,7.7165,6.363,4.0538
823742,7.6792,2,2,6.6306,4.5474,4.4613,2,5.4832
833883,7.2065,2,6.3576,2,5.9998,2.5857,6.3341,3.2955
835483,2,8.1787,2.3501,5.1268,2,2.5857,3.8683,2
817616,6.7939,2,6.2576,2.4619,5.3218,2,6.0082,2
839180,6.8625,3.9915,6.6693,2.8112,6.8655,3.0012,7.6304,2.5704
838314,8.6765,8.9689,5.2501,2.9585,7.2183,7.5258,7.1483,4.2866
841381,8.6992,6.6112,6.7888,4.3109,7.4567,3.809,9.564,4.4871
822481,7.3567,2.4564,5.2079,2.2493,5.7257,2.3224,6.2124,2.3132
823261,2,2,2,2,7.9086,2,2,2
823181,2,5.6043,2.3501,2,7.2623,2,2,2
835479,2,7.7702,2.3501,4.7355,2,2,3.5035,2
835133,6.4099,5.6043,4.3561,5.9212,2,6.5568,2,2
835503,2,7.7702,2,4.7355,2.5474,2,3.5035,2
823237,2,2,2,2,7.6146,2,2,2
842201,6.4639,2,6.539,2.4619,5.6213,3.0012,6.1965,2.978
832750,10.2379,6.7964,9.9617,5.8663,10.0484,7.1315,9.8558,6.0876
828959,6.2139,2,6.7451,3.0922,5.4184,2.5857,4.9118,2
815100,12.7851,8.1638,11.0536,8.316,10.5624,8.9652,13.1765,9.6088
6241066,2.345,7.7702,2.6316,4.9619,2.9433,2,3.6974,2.5704
7922423,2,7.7702,2.8671,4.7758,3.1068,2.5857,3.6974,2
843523,2,6.5438,2.8671,6.5631,6.2478,6.306,5.9711,3.2955
823182,2,3.5162,2,2,7.3789,2,2,2
826796,5.3094,6.8899,3.7957,2,5.6481,6.8477,3.9467,2.3132
827890,5.9369,2.4564,5.7979,3.2145,5.7506,2.3224,6.3194,2
843047,4.7954,2.4564,5.9847,2,6.0808,2,5.2882,2
825213,6.3728,3.8498,5.3699,2,5.5089,4.0892,6.9907,2
830650,4.9547,7.9973,4.9244,8.0256,4.3655,8.2263,4.0918,7.833
843832,9.0385,9.9261,5.7098,4.9266,8.0256,9.2923,7.1062,5.9359
837327,10.0726,6.4486,9.6087,6.6739,10.3421,6.192,9.6631,6.644
835262,3.3899,4.6344,5.4078,6.4179,4.1574,7.269,2,7.0339
837817,6.1713,6.7964,2,2.9585,5.4793,6.9447,4.6084,3.7759
827971,7.7819,7.4277,3.0695,3.7877,6.9754,7.0791,5.704,4.3566
827113,10.0683,6.3468,10.06,6.0418,9.9374,6.9795,9.531,6.9114
823236,2,2,2,2,7.0971,2,2,2
821225,7.9299,7.9719,3.5473,4.1362,7.126,7.4285,5.5366,4.5482
818952,6.3539,2.8025,5.0731,3.2145,5.3869,2.5857,7.14,2.978
819093,8.2445,8.8576,4.2766,4.4166,7.1912,7.7902,5.8334,5.2822
832290,5.7175,2.8025,5.8538,3.2145,4.657,2.3224,7.2368,3.1455
830830,4.9035,6.4238,5.616,4.562,7.2881,10.033,5.4585,5.4193
821726,7.0969,5.0124,8.1337,4.255,6.2824,5.0895,8.968,4.4871
3769440,2,2,2,2,6.9324,2,2,2
817435,4.4119,8.3197,3.7957,6.5163,3.823,6.0896,3.3959,6.4008
834435,4.4119,2,4.0076,3.6207,3.2537,4.0017,7.5129,2
817471,7.1195,4.4502,7.1762,3.0922,7.8405,4.86,5.7916,3.8746
841610,6.9407,10.2169,6.6536,10.1167,7.182,10.0219,7.0976,10.298
844423,10.5111,10.3129,6.7001,6.5044,9.7963,10.1225,8.8858,7.1369
815086,6.0353,3.3151,5.9338,2.4619,5.0676,2,6.4191,4.0538
817474,5.0981,2.8025,5.4806,2,6.061,2,4.0918,2
835280,8.7215,8.5143,4.5714,4.6073,7.7812,7.8726,6.7274,5.5142
835135,5.7175,4.9443,3.7957,4.8532,2,5.8601,2,2
835478,2.345,7.7801,3.7957,4.8903,3.6214,3.9086,4.2853,2.5704
825182,5.0981,2.4564,3.7957,2.2493,5.1449,2.5857,6.5504,2
820152,6.2347,3.3151,4.6366,2.2493,4.3655,2.8083,7.0182,3.1455
843349,6.8079,6.6965,2.8671,2.6471,5.4184,5.0464,5.2578,2.978
838347,7.5185,5.2566,4.0076,2.4619,4.6032,5.172,7.2677,4.1356
831420,5.7175,6.717,3.0695,2.8112,6.3974,6.6604,3.5035,3.9669
843584,9.0236,9.6199,5.616,5.3026,8.0808,8.7934,7.3637,5.8894
839183,5.3094,2,4.5714,2,5.3218,2.3224,5.7484,2.3132
823174,2,2,2,2,6.7465,2,2,2
823225,2,2,2,2,6.7465,2,2,2
823263,2,2,2,2,6.7465,2,2,2
843328,5.8314,2.8025,6.1047,2.9585,5.0676,3.3233,6.0968,2
814986,5.0041,2,5.1643,2,4.0808,2.3224,5.9898,2
839165,5.9369,2.4564,5.4078,2.2493,5.3218,2.5857,5.6346,2.5704
835139,4.6786,2,2.6316,4.255,2,6.3945,2,2
817946,5.4937,9.8813,8.3676,10.4513,8.4781,9.9867,8.157,10.3926
822175,7.4753,3.8498,5.5156,7.4844,8.3452,7.5872,5.8334,8.8048
837072,6.6147,3.8498,7.302,4.0067,6.9964,4.2497,7.3053,3.8746
843421,3.0569,6.293,5.0731,5.5317,2.2995,5.494,2,5.1701
817197,6.1713,3.5162,6.5727,3.9373,6.4287,2.8083,7.1316,4.2866
835507,5.4937,6.7964,2.6316,3.5294,6.2824,7.2117,4.0918,4.4233
834841,2,7.4402,5.3699,5.555,4.2994,4.0017,3.8683,5.9809
841611,5.5612,8.8896,6.0815,8.8707,5.6745,8.9419,6.0795,8.8898
816073,3.3899,2.4564,2,2,2.5474,3.3233,6.9532,2.3132
818996,6.1273,3.6926,6.7598,5.0953,2.7589,3.3233,7.054,5.7918
838206,4.6786,6.0228,7.2194,5.8092,2.2995,5.5257,3.3959,3.5556
828878,9.0562,9.3208,4.5031,6.7159,8.7309,8.9738,7.5064,7.4566
829100,11.3682,11.7792,7.6798,8.0256,10.7048,11.3382,9.2567,8.857
823892,5.7468,2.8025,6.845,3.5294,5.9789,3.9086,6.8344,3.67
5008156,2.345,2,2.6316,5.1878,2.5474,2.8083,6.3046,2
828970,2,3.3151,3.0695,2.8112,2,4.3238,6.7163,2
821580,6.2756,4.5452,8.0878,4.6073,7.4261,4.0017,7.392,4.9614
834291,6.7512,3.6926,2.8671,5.1268,2,4.0892,2.4935,2.7886
830416,5.3482,4.9443,3.9056,3.2145,3.2537,2.8083,6.8241,2
818993,5.3859,2.8025,6.5045,2.4619,5.0676,3.702,6.1308,3.1455
818363,7.3376,3.5162,4.5714,3.7066,3.6214,3.1712,5.4314,2.3132
5008138,9.2009,9.1537,4.8161,6.3394,8.5149,8.7471,6.9436,7.1468
839084,3.0569,3.6926,3.4049,4.255,4.8993,2,6.0795,6.6579
3767646,6.2553,6.6545,2.8671,3.2145,5.7993,6.5872,3.9467,4.1356
832431,5.657,7.0114,6.7451,8.3023,3.2537,6.9091,6.164,7.8574
830831,5.7468,7.0765,6.3768,5.6229,7.713,10.3366,6.2593,6.0669
828387,5.5612,4.7977,3.6768,6.4679,2.5474,5.002,2,3.2955
841497,12.0154,12.1956,8.8069,8.782,11.5324,12.1732,9.6833,9.4317
829528,6.3347,6.3986,2.8671,3.4319,6.4593,6.8224,4.4012,4.6068
828344,2,2,2,4.8903,2,2.8083,5.7916,2
834943,9.1742,6.8346,8.1052,5.7087,7.5234,5.0895,9.0165,6.0459
843126,4.2575,2,4.9244,2.8112,4.0808,2,6.4731,3.5556
839088,2.8562,5.9552,5.5833,4.1362,5.2881,2,4.0211,2.3132
6241407,2.6231,3.5162,2.3501,2.4619,4.2302,6.8849,3.1529,2.5704
817373,2.8562,4.9443,2.3501,4.8532,2.5474,5.3944,2,5.6317
823176,2,2,2,2,6.2824,2,2,2
823205,2,2,2,2,6.2824,2,2,2
835125,4.8505,2,2,6.0083,2.5474,5.1313,3.3959,3.5556
816806,6.082,7.8746,3.9056,3.7877,5.6213,6.7027,4.8315,3.8746
841636,4.3367,7.3509,5.5499,8.4744,5.9576,7.4452,6.5251,8.7473
828158,6.7656,5.8097,3.0695,3.0922,6.3328,5.835,4.1592,3.7759
821134,7.9924,6.2654,5.616,4.1362,4.854,7.7027,6.5876,4.1356
835484,2,6.2372,2,3.5294,2,2,2.8605,2
839102,4.4119,2,2,2,2,2,5.8127,2
829870,5.5939,8.9603,8.3676,10.2998,8.4131,9.4597,8.3168,10.1787
843754,2,2,5.3311,4.255,4.7088,2,4.5593,2
818354,7.2785,4.7977,7.6952,4.4667,6.504,4.4613,7.4266,4.4233
828653,7.4488,7.7702,3.9056,4.4166,6.8424,7.0897,5.1949,5.2084
820789,5.4228,2,5.1643,2.9585,4.2994,2,5.511,3.1455
823902,5.6258,2.4564,4.7587,2.2493,4.657,2,5.2578,2.978
817628,4.7382,2,4.103,2.2493,3.7257,2,5.7702,2
837098,6.0353,4.239,6.8031,3.5294,6.7711,4.0017,6.7819,3.8746
817180,5.0981,3.0815,5.5833,2.9585,5.0676,2.5857,6.5753,3.4314
837269,4.6164,6.9947,4.1924,7.3967,5.3218,7.4941,4.8315,7.6981
828651,8.783,9.1909,5.2501,6.0745,8.1574,8.7471,6.4463,7.0551
832256,4.9035,6.2085,2.6316,2.2493,4.3655,4.5255,3.7854,2
7922376,6.8758,3.8498,2.8671,4.0067,6.2478,5.1313,6.4862,5.9128
838017,4.4119,2.8025,5.4078,2.2493,5.594,2.5857,5.7484,3.2955
827085,5.4228,6.7373,2,4.5151,5.0273,4.3942,6.3341,5.2822
835474,2.345,6.2372,2,3.5294,2,2.3224,2.6887,2
839251,4.6786,2,4.2766,2,4.657,2,5.2882,2.3132
822221,5.0041,2,5.3699,2.2493,5.3547,2.3224,3.6037,2.978
817663,5.1864,7.5473,4.7587,6.9275,4.4287,6.8224,3.6037,6.8153
835129,5.1864,4.4502,3.4049,4.7355,2,5.0895,2,2
6241153,5.2286,2.8025,5.2079,2.2493,4.9433,2.3224,5.6581,3.2955
825198,5.4586,2.4564,4.5714,2.2493,5.2536,3.0012,4.7463,2
