Col_Root_268_Up,CAX22_Root_224_Up,CAX23_Root_2712_Up,CAX23_Root_785_Down,CAX22_Root_142_Down,Col_Root_555_Down
AT1G01180,AT1G02470,AT1G01030,AT1G01070,AT1G03340,AT1G01070
AT1G02340,AT1G03130,AT1G01080,AT1G01300,AT1G05310,AT1G01470
AT1G03710,AT1G06360,AT1G01140,AT1G01470,AT1G05680,AT1G01600
AT1G04350,AT1G07180,AT1G01180,AT1G01720,AT1G12110,AT1G01680
AT1G05835,AT1G08380,AT1G01320,AT1G02730,AT1G12600,AT1G02220
AT1G07550,AT1G09310,AT1G01340,AT1G02770,AT1G17170,AT1G02520
AT1G08430,AT1G12340,AT1G01390,AT1G02850,AT1G19960,AT1G02530
AT1G08830,AT1G12900,AT1G01430,AT1G03040,AT1G22710,AT1G02850
AT1G09750,AT1G13650,AT1G01490,AT1G03230,AT1G23060,AT1G02920
AT1G10120,AT1G14150,AT1G01780,AT1G03620,AT1G23140,AT1G02930
AT1G10640,AT1G15980,AT1G01820,AT1G03820,AT1G26380,AT1G04310
AT1G11740,AT1G18730,AT1G02305,AT1G04180,AT1G26390,AT1G04770
AT1G12110,AT1G18810,AT1G02340,AT1G04310,AT1G28640,AT1G05650
AT1G13080,AT1G19150,AT1G02610,AT1G04330,AT1G28650,AT1G05680
AT1G13300,AT1G19670,AT1G02820,AT1G04680,AT1G32350,AT1G05880
AT1G13430,AT1G20020,AT1G02910,AT1G05370,AT1G35310,AT1G06080
AT1G14290,AT1G20340,AT1G03130,AT1G05650,AT1G44100,AT1G06830
AT1G16930,AT1G21500,AT1G03340,AT1G05680,AT1G47960,AT1G08050
AT1G17300,AT1G22590,AT1G03400,AT1G06170,AT1G48260,AT1G08090
AT1G20840,AT1G22690,AT1G03457,AT1G06830,AT1G51340,AT1G08650
AT1G21100,AT1G23130,AT1G03600,AT1G07090,AT1G51420,AT1G09935
AT1G22160,AT1G24148,AT1G03630,AT1G07260,AT1G52343,AT1G11080
AT1G22500,AT1G25440,AT1G03660,AT1G07640,AT1G53480,AT1G11330
