COL00 Root	COL00 Shoot	CAX22 Root	CAX22 Shoot	RBOHD Root	COL00 Root|COL00 Shoot	COL00 Root|CAX22 Root	COL00 Root|CAX22 Shoot	COL00 Root|RBOHD Root	COL00 Shoot|CAX22 Root	COL00 Shoot|CAX22 Shoot	COL00 Shoot|RBOHD Root	CAX22 Root|CAX22 Shoot	CAX22 Root|RBOHD Root	CAX22 Shoot|RBOHD Root	COL00 Root|COL00 Shoot|CAX22 Root	COL00 Root|COL00 Shoot|RBOHD Root	COL00 Root|CAX22 Root|RBOHD Root	COL00 Root|CAX22 Shoot|RBOHD Root	COL00 Shoot|CAX22 Root|RBOHD Root	COL00 Shoot|CAX22 Shoot|RBOHD Root	CAX22 Root|CAX22 Shoot|RBOHD Root	COL00 Root|COL00 Shoot|CAX22 Root|CAX22 Shoot	COL00 Root|COL00 Shoot|CAX22 Root|RBOHD Root	COL00 Root|COL00 Shoot|CAX22 Shoot|RBOHD Root	COL00 Root|CAX22 Root|CAX22 Shoot|RBOHD Root	COL00 Root|COL00 Shoot|CAX22 Root|CAX22 Shoot|RBOHD Root	RBOHD Shoot	RBOHD Root|RBOHD Shoot	CAX22 Shoot|RBOHD Shoot	CAX22 Shoot|RBOHD Root|RBOHD Shoot	CAX22 Root|RBOHD Shoot	CAX22 Root|CAX22 Shoot|RBOHD Shoot	COL00 Shoot|RBOHD Shoot	COL00 Shoot|RBOHD Root|RBOHD Shoot	COL00 Shoot|CAX22 Shoot|RBOHD Shoot	COL00 Shoot|CAX22 Root|RBOHD Shoot	COL00 Shoot|CAX22 Root|CAX22 Shoot|RBOHD Shoot	COL00 Root|RBOHD Shoot	COL00 Root|RBOHD Root|RBOHD Shoot	COL00 Root|CAX22 Shoot|RBOHD Shoot	COL00 Root|CAX22 Shoot|RBOHD Root|RBOHD Shoot	COL00 Root|CAX22 Root|RBOHD Shoot	COL00 Root|CAX22 Root|RBOHD Root|RBOHD Shoot	COL00 Root|COL00 Shoot|RBOHD Shoot	COL00 Root|COL00 Shoot|RBOHD Root|RBOHD Shoot	COL00 Root|COL00 Shoot|CAX22 Shoot|RBOHD Root|RBOHD Shoot	COL00 Root|COL00 Shoot|CAX22 Root|RBOHD Shoot	COL00 Root|COL00 Shoot|CAX22 Root|RBOHD Root|RBOHD Shoot	COL00 Root|COL00 Shoot|CAX22 Root|CAX22 Shoot|RBOHD Shoot	COL00 Root|COL00 Shoot|CAX22 Root|CAX22 Shoot|RBOHD Root|RBOHD Shoot
AT5G54148	AT3G01420	AT3G01500	ATCG00250	AT5G09570	AT5G22570	AT3G42190	AT4G37950	AT2G41810	AT5G36910	AT4G24000	AT1G30700	AT2G07750	AT1G24822	AT4G28410	AT2G29350	AT5G13320	AT3G21720	AT5G47450	AT2G07692	AT1G34047	AT2G30290	AT2G07813	AT2G30660	AT3G28510	AT3G60120	AT1G69920	AT3G49620	AT5G42800	AT1G66270	AT4G33120	AT3G44860	AT1G58983	ATMG00700	ATMG00620	ATCG00960	AT2G14610	AT2G38240	AT5G54045	AT5G54000	AT2G02990	AT4G37990	AT3G42100	AT3G60140	AT3G46850	AT2G44460	AT1G14540	AT5G05340	ATMG01310	AT1G17710	AT1G26390
AT2G15780	AT3G13610	AT3G01500	ATCG00060	AT1G75940	AT3G09340	AT3G42530	AT1G59218	AT5G26920	AT5G36970	AT3G05780	AT5G48400	AT2G07701	AT1G24880	AT1G60830	AT2G29350	AT1G67270	AT3G15500	AT2G33790	AT2G07691	AT1G34047	AT2G30290		AT5G38910	AT2G26400		AT1G67980	AT3G49630	AT2G01422	AT1G66270		AT1G66100		ATMG00740	AT1G13520	ATCG00990	AT1G47395		AT1G11080	AT5G53960	AT3G12230				AT4G35770	AT4G14630	AT4G12490	AT2G45130	ATMG01290	AT1G17710	AT2G30750
AT3G42300	AT1G26400	AT3G01500	AT3G24240	AT3G54530	AT1G02450	AT3G42410	AT1G59218	AT5G26920	AT3G28220	AT1G66960	AT3G61390	AT2G07703	AT2G13360		AT2G29350	AT1G08090	AT1G71140	AT4G12550	AT3G28740		AT1G71920		AT2G05510	AT1G65481		AT1G67980	AT1G13608	ATMG00220	AT3G28550		AT3G60950		ATMG00750	ATMG00600	ATCG00970	AT1G14880		AT1G11080	AT1G51840					AT4G35770	AT3G09922	AT3G26830		ATMG01300	AT3G55970	AT4G31970
AT3G42330	AT1G65690	AT2G34430	ATCG00230	AT3G54530	AT3G23120	AT3G42400	AT1G73300	AT5G07570	AT1G24880	AT2G39518	AT3G61390	AT2G07702	AT2G13360		AT2G05090	AT1G58320	AT1G48130	AT2G01530	AT5G42530		AT1G71920		AT2G05510	AT4G13420		AT1G66700	AT1G13607	ATMG00250	AT1G23720		AT1G28650		ATMG00760	ATMG00610	ATCG00980	AT4G23600		AT1G77960	AT1G07550					AT4G35770	AT4G28420	AT2G43000		ATMG01270	AT1G52890	AT1G26380
AT3G42340	AT5G15130	AT5G26000	AT4G15390	AT1G24793	AT1G51810	AT3G42290		AT1G49570		AT4G23310	AT3G57260	AT2G07705	AT2G07776		AT2G05080	AT2G04460	AT5G44120	AT4G15393			AT1G71920		AT2G05510			AT1G66700	AT1G80160	ATMG00270	AT1G66280		AT1G28640		ATMG00770	AT1G13609	AT2G45220	AT4G23600		AT1G56600	AT5G03545						AT2G43620	AT2G35980		AT1G02920		AT1G26410
AT3G42460	AT3G11340	AT5G26000	ATCG00260	AT1G24793	AT2G45760	AT3G42060		AT4G21380		AT2G25330	AT1G47890	AT2G07794	AT2G07777		AT2G05082	AT2G29250	AT5G44120	AT4G15393					AT2G05510			AT2G04050	AT2G26020	ATMG00230	AT3G54580		AT4G21440		ATMG00780	AT1G13609	ATCG01160	AT4G23600		AT3G21080	AT1G21400						AT5G48850			AT5G19880		AT2G30770
AT2G05380	AT4G19970	AT5G20630	ATCG00240	AT1G70080	AT2G25440	AT3G42320		AT1G51830		AT5G10580	AT2G17740	AT2G07704	AT2G07812		AT2G07826	AT1G01680	AT5G44120	AT4G15393					AT2G05510				AT5G24780	AT2G01422	AT3G59220		AT5G61160		ATMG00790	AT5G48400	ATCG01170			AT4G21680	AT1G51420						AT4G28420					AT5G40990
AT2G05380	ATMG00980	AT5G38410	ATCG00310	AT3G22740	AT2G16960	AT3G42540		AT2G28860		AT3G47760	AT1G02520	AT2G07770	AT2G07749		AT2G05084	AT1G14550	AT2G19900						AT2G05510				AT5G24780	ATMG00240	AT1G73290				ATMG00800	AT3G56980	ATCG01150			AT5G09210	AT5G24110						AT2G43570					AT4G23700
AT5G07571	AT3G09220	AT5G38410	ATCG00320	AT1G27565	AT1G53990	AT3G42110		AT5G22300		AT5G10580	AT3G12500	AT2G07793	AT1G24880		AT2G05087	AT1G26420	AT1G52343						AT2G43510				AT1G19550	ATMG00260	AT1G43160				ATMG00820	AT2G30766	ATCG01190			AT1G32840	AT1G56150						AT2G29460					
AT5G53950	AT5G64100	AT5G38410	AT1G70850	AT3G16432	AT1G12200	AT3G42070		AT5G54150		AT5G20240	AT3G12502	AT2G07706	AT2G18140			AT1G05880	AT3G29078						AT1G32350				AT1G80160	ATMG00170	AT5G59090				ATMG00840	AT2G30766	ATCG01140			AT1G30135	AT4G22880						AT2G15490					
AT3G42083	ATMG01030	AT2G10940	AT1G70850	AT1G58050	AT3G22240	AT3G42240		AT1G26240			AT3G21500	AT2G07760	AT4G15310			AT1G05880	AT1G22210						AT1G69930				AT2G47550	ATMG00190	AT5G59090				ATMG00850	AT2G30760	ATCG01030			AT2G25625	AT4G22880						AT2G15490					
AT3G42160	AT1G13480	AT2G10940	AT1G70850	AT1G74810	AT1G79680	AT5G09710		AT1G05650			AT5G41310		AT4G13410			AT3G13950	AT1G28500						AT5G64810				AT5G35935	ATMG00100	AT5G59090				ATMG00870	ATMG00460	AT4G12500			AT2G25625							AT2G15490					
AT3G42140	AT1G14870	AT5G25980	AT5G48940	AT2G28850	AT1G75830	AT1G05240		AT2G29220			AT3G21500		AT5G24210			AT5G40590	AT2G04060						AT1G02930				AT4G17470	ATMG00210	AT3G54590				ATMG00890	ATMG00420	ATCG00950										AT3G49580					
AT3G42310	AT1G30720	AT5G25980	AT3G01260	AT4G12470	AT2G29490	AT5G09720		AT3G20360			ATMG00290		AT2G07755			AT1G18970	AT1G65800						AT1G02930				AT4G17470	AT5G38200	AT3G48520				ATMG00900	ATMG00440	ATCG00940										AT3G49580					
AT3G42350	ATMG00720	AT5G25980	AT5G26290	AT3G51420	AT4G11650	AT5G09711		AT3G47380			AT5G40780		AT2G07784			AT1G23730							AT1G05680				AT4G17470	AT5G06870	AT1G54890				ATMG00940	ATMG00470	ATCG01200										AT4G11170					
AT3G42430	AT1G15520	AT5G38430	AT4G12520	AT1G75790		AT2G02010		AT2G26560			AT5G40780		AT1G19670			AT5G26220							AT3G53150				AT1G19560	AT1G69480	AT2G25980				ATMG00910	ATMG00410	ATCG01180										AT1G21240					
AT3G42436	ATMG01050	AT3G14210	AT3G32030	AT5G36150		AT4G37710		AT2G28270			ATMG00380		AT2G07792			AT1G44130							AT4G02280				AT5G24770	AT4G18900	AT1G10585				ATMG00950	ATMG00430	AT5G64905										AT5G54060					
AT3G42450	AT1G02360	AT1G29920	AT1G12040	AT4G15490		AT1G64480		AT2G43890			AT2G45570		AT2G07694			AT4G10500							AT4G22070				AT5G24770		AT5G19520				ATMG01010	ATMG00360	AT5G07010										AT3G08860					
AT3G42500	AT5G43350	AT4G26530	AT4G29020	AT5G06760		AT1G31580		AT3G47480			AT1G18870		AT4G04223			AT5G02780							AT3G25240				AT5G66150		AT4G22470				ATMG01150	ATMG00340	AT2G39030										AT3G56970					
AT5G07572	ATMG01160	AT4G26530	AT4G29020	AT3G18450		AT2G25510		AT1G08430			AT5G17320		AT1G43800			AT5G02780							AT1G36622				AT1G33940		AT4G29690				ATMG01060	ATMG00350											AT3G18250					
AT1G64160	AT5G24530	AT3G05730	AT1G05260	AT1G75910		AT2G25510		AT5G13370			AT1G51920		AT5G05050			AT1G22150											AT2G07630						ATMG01070	ATMG00390											AT3G05400					
AT5G53910	AT1G61800	AT1G24938	AT5G63660	AT3G46340		AT5G36790		AT3G60420			AT1G18870		AT4G04223			AT1G26250											AT3G14540						ATMG00930	ATMG00300											AT3G05400					
AT5G54010	AT1G18860	AT1G24909	AT2G01520	AT1G76370		AT5G36790		AT3G60270			AT1G68280		AT3G49115			AT1G29100											AT1G61810						ATMG00880	ATMG00310											AT5G38900					
AT2G32487	AT1G73260	AT1G29910	AT2G24850	AT1G53610		AT5G36790		AT2G37870			AT4G08555		AT5G28030			AT4G35180											AT3G14490						ATMG00920	ATMG00320											AT2G41240					
AT2G17850	AT3G09270	AT3G63160	AT1G59171	AT5G36220		AT3G53280		AT2G37770			ATMG00285		AT5G28030			AT5G64120											AT5G06570						ATMG01040	ATMG00330											AT2G41240					
AT1G70840	AT2G29100	AT5G65730	AT1G59171	AT2G16730		AT1G51805		AT4G31330			AT4G34135					AT1G19250											AT4G24340						ATMG01140	ATMG00370											AT2G14247					
AT5G54095	AT1G78780	AT3G45140	AT5G53250	AT4G01630		AT1G51805		AT3G26200			AT2G18690					AT5G48430											AT5G05600						AT2G19190	ATMG00400											AT2G39530					
AT5G54062	ATCG00905	AT2G29290	AT1G28630	AT1G68750		AT1G73830		AT2G37770			AT2G18690					AT3G49570											AT1G20750						AT1G21310	AT1G68620																
AT3G42130	AT1G78780	AT2G29290	AT5G35190	AT4G26050		AT1G73830		AT5G53190			AT3G54420					AT1G33030											AT1G61810						ATMG01100	ATMG00450																
AT3G42200	AT1G78780	AT2G05070	AT1G33750	AT5G13380		AT3G11680		AT2G31083			AT4G34135					AT2G40750											AT5G20230						ATMG00860	AT1G51913																
AT3G42254	ATCG00880	AT1G23130	AT4G21830	AT1G60450		AT3G61030		AT3G60420			AT1G68270					AT5G44990											AT2G26010						AT5G14180	AT4G16590																
AT3G42390	ATCG00850	AT5G09660	AT5G23830	AT1G76420		AT1G66970		AT1G02850								AT5G44990											AT5G12020						ATMG01000	AT1G67810																
AT3G42440	ATCG00910	AT1G32080	AT5G23830	AT5G58180		AT1G06120		AT1G02850								AT5G44990											AT3G41762						AT3G22600																	
