Col_Root_Up	cax22_Root_Up	rbohD_Root_Up
AT5G43450	AT1G03340	AT1G01580
AT4G20930	AT1G05310	AT1G01650
AT5G14200	AT1G05680	AT1G01680
AT5G63990	AT1G12110	AT1G01720
AT3G14990	AT1G12600	AT1G02520
AT5G48540	AT1G17170	AT1G02530
AT3G28510	AT1G19960	AT1G02850
AT3G28580	AT1G22710	AT1G02920
AT4G24860	AT1G23060	AT1G02930
AT5G17760	AT1G23140	AT1G04770
AT5G23050	AT1G26380	AT1G05560
AT1G77380	AT1G26390	AT1G05562
AT5G63850	AT1G28650	AT1G05650
AT5G49630	AT1G32350	AT1G05680
AT3G21080	AT1G35310	AT1G05880
AT2G38600	AT1G44100	AT1G08050
AT3G25570	AT1G47960	AT1G08090
AT1G06080	AT1G48260	AT1G08650
AT5G16970	AT1G51340	AT1G11080
AT5G13790	AT1G51420	AT1G12200
AT3G08860	AT1G52343	AT1G13310
AT5G57350	AT1G53480	AT1G13520
AT5G54390	AT1G55920	AT1G13750
AT2G37760	AT1G59725	AT1G14440
AT2G37770	AT1G60730	AT1G17170
AT1G60730	AT1G62300	AT1G17180
AT3G23560	AT1G63530	AT1G18870
AT4G28420	AT1G66200	AT1G18970
AT1G02220	AT1G67980	AT1G21120
AT1G77450	AT1G69930	AT1G21130
AT2G17040	AT1G71140	AT1G21240
AT5G63790	AT1G73630	AT1G21320
AT5G64060	AT1G75820	AT1G23500
AT3G22370	AT1G76520	AT1G24793
AT1G32350	AT1G76680	AT1G26240
AT2G33710	AT1G76690	AT1G26380
AT2G44940	AT2G02010	AT1G26390
AT3G25730	AT2G15440	AT1G26410
AT3G60490	AT2G19900	AT1G26420
AT5G61890	AT2G20960	AT1G27565
AT2G26400	AT2G21060	AT1G29290
AT3G59900	AT2G23170	AT1G29730
AT1G65790	AT2G30750	AT1G29740
AT1G65800	AT2G41730	AT1G30730
AT4G21380	AT2G43510	AT1G32940
AT2G44080	AT2G43820	AT1G32960
AT5G48430	AT2G45840	AT1G33030
AT5G08790	AT3G04030	AT1G33440
AT1G76410	AT3G10710	AT1G33610
AT3G28600	AT3G12203	AT1G34460
AT4G36570	AT3G14060	AT1G44130
AT5G38420	AT3G14620	AT1G48000
AT2G43510	AT3G20470	AT1G48800
AT1G76520	AT3G21260	AT1G49030
AT4G34770	AT3G25240	AT1G49750
AT1G56150	AT3G25730	AT1G51420
AT5G13370	AT3G44860	AT1G51920
AT5G18970	AT3G47380	AT1G52342
AT2G45760	AT3G47750	AT1G52343
AT1G23730	AT3G49115	AT1G53610
AT1G73830	AT3G50740	AT1G53640
AT1G02850	AT3G53150	AT1G54100
AT3G21370	AT3G60120	AT1G54575
AT5G28510	AT3G63110	AT1G55230
AT3G60120	AT4G00780	AT1G55850
AT2G44460	AT4G01600	AT1G55920
AT2G32860	AT4G02280	AT1G56150
AT1G05880	AT4G07960	AT1G57630
AT1G63750	AT4G08230	AT1G58320
AT1G68880	AT4G13180	AT1G59700
AT1G47960	AT4G15270	AT1G60470
AT5G19440	AT4G15320	AT1G60730
AT1G73630	AT4G16190	AT1G60750
AT3G47480	AT4G19840	AT1G61130
AT5G26920	AT4G22590	AT1G62180
AT3G56240	AT4G22592	AT1G62580
AT4G08570	AT4G23030	AT1G64240
AT1G67980	AT4G27290	AT1G64950
AT3G53230	AT4G34131	AT1G65481
AT5G26220	AT4G34135	AT1G65483
AT5G24090	AT4G36280	AT1G65800
AT2G43570	AT4G36410	AT1G66600
AT2G43620	AT4G36570	AT1G66780
AT3G47540	AT4G37030	AT1G67270
AT4G01700	AT5G02600	AT1G67800
AT3G54420	AT5G04950	AT1G67810
AT4G23700	AT5G06860	AT1G67850
AT5G52570	AT5G06865	AT1G68690
AT4G34530	AT5G14730	AT1G69530
AT1G72680	AT5G16980	AT1G69920
AT2G19500	AT5G22090	AT1G69930
AT1G67800	AT5G36220	AT1G71140
AT4G04710	AT5G38940	AT1G71520
AT4G04700	AT5G46730	AT1G71890
AT3G25572	AT5G47550	AT1G72680
AT4G07960	AT5G57350	AT1G73120
AT3G58740	AT5G61820	AT1G73220
AT3G44970	AT5G64240	AT1G74590
AT5G36130	AT5G64810	AT1G74810
AT2G30750	AT5G67060	AT1G75270
AT2G30770		AT1G76520
AT4G20240		AT1G76680
AT3G26220		AT1G76690
AT3G53280		AT1G77450
AT2G24180		AT1G78340
AT3G26180		AT1G78380
AT3G26200		AT2G01422
AT3G26230		AT2G03760
AT3G14620		AT2G04040
AT2G45550		AT2G04070
AT2G46660		AT2G04460
AT5G57220		AT2G05510
AT1G01600		AT2G15220
AT1G64950		AT2G15490
AT4G37430		AT2G15830
AT5G14400		AT2G17040
AT5G40590		AT2G19500
AT2G23960		AT2G21640
AT4G00670		AT2G24720
AT2G40340		AT2G25095
AT3G27950		AT2G25737
AT1G31580		AT2G26400
AT4G23250		AT2G26560
AT4G22530		AT2G28570
AT4G33220		AT2G29110
AT2G31230		AT2G29220
AT3G16770		AT2G29420
AT1G04310		AT2G29490
AT4G01060		AT2G29500
AT3G23150		AT2G30140
AT1G68470		AT2G30540
