Transcript ID	rbohD_Root_baseMeanB_GC	rbohD_Root_baseMeanA_FL
AT1G05835.1	56.78129247	91.48541254
AT1G07550.1	12.50758163	78.11767618
AT1G07620.1	30.05126895	61.18457722
AT1G08430.1	451.3010465	2582.125115
AT1G10530.1	46.45633321	83.18195256
AT1G11530.1	31.61984147	57.67001701
AT1G12110.1	1684.432186	4422.061203
AT1G13080.1	174.9602697	331.6992479
AT1G13080.2	176.914147	334.8820238
AT1G14520.1	22.04464656	43.48557355
AT1G14520.2	21.83885523	42.00393163
AT1G16170.1	198.7397723	286.7469474
AT1G16930.1	156.7218234	240.9830422
AT1G19390.1	0.359876786	2.69511417
AT1G19670.1	2.467593862	10.12635454
AT1G20840.1	3219.758169	5013.577273
AT1G22500.1	271.0232284	559.8199289
AT1G22590.1	3.287311369	6.855342408
AT1G25425.1	5.854240423	13.08380244
AT1G27020.1	256.3945803	535.822951
AT1G30260.1	8.372145274	20.80450318
AT1G30270.1	1378.495099	2275.871081
AT1G35290.1	2.368137159	6.625578682
AT1G43590.1	1.186156524	3.330578278
AT1G44030.1	8.180519521	33.18721909
AT1G45015.1	34.15736232	133.4640855
AT1G45015.2	34.00267296	132.6395477
AT1G45020.1	2.110685144	14.56835465
AT1G45616.1	7.809954277	24.31380047
AT1G49370.1	0.873859389	4.139750226
AT1G49500.1	308.9424781	483.2002787
AT1G49975.1	6.477239329	12.59158966
AT1G51340.1	64.65793749	115.9710361
AT1G51340.2	64.65793749	115.9710361
AT1G51750.1	0.822757423	3.49576621
AT1G51820.1	15.30057308	38.26622662
AT1G51830.1	88.18321706	623.7689479
AT1G51840.1	39.37279622	276.9607473
AT1G52070.1	54.87519813	241.0857
AT1G60610.1	160.5666767	250.7782858
AT1G60610.2	155.7862457	244.7217538
AT1G60610.3	155.4760015	243.8407397
AT1G61560.1	117.8459433	297.1774437
AT1G61560.2	114.5098445	287.6745944
AT1G61560.3	114.5098445	287.6745944
AT1G61560.4	117.9985798	295.5637891
AT1G62280.1	100.9936504	203.0708883
AT1G65390.1	2.060378625	6.508846341
AT1G65390.2	2.060378625	6.508846341
AT1G65810.1	0.308578814	1.675046363
AT1G65810.2	0.308578814	1.675046363
AT1G65860.1	54.5100199	119.6611298
AT1G66940.2	9.625803052	18.21011214
