Row-names	GCShoot_COL00-GCShoot_RBOHD___log2FoldChange	GCShoot_COL00-GCShoot_RBOHD___padj	COL00-RBOHD_shoot_APEX5_Sig
AT1G01130	1.762197342	0.00180475	Yes
AT1G01180	0.886247776	0.006835972	Yes
AT1G01470	0.714503374	0.009738546	Yes
AT1G01500	0.734495772	0.000338521	Yes
AT1G01620	0.632264118	0.001146345	Yes
AT1G02010	-0.289010906	0.043574035	Yes
AT1G02410	-0.294726656	0.026547652	Yes
AT1G02730	-0.601683446	0.035121077	Yes
AT1G02820	1.260554194	0.023375595	Yes
AT1G02910	0.283767655	0.04149988	Yes
AT1G02920	-1.036130289	0.029574917	Yes
AT1G02930	-1.039797812	0.041419039	Yes
AT1G03010	-0.690277043	0.024088322	Yes
AT1G03060	-0.13504835	0.008419651	Yes
AT1G03230	0.673360279	0.005049581	Yes
AT1G03410	0.306389929	0.043693015	Yes
AT1G03730	0.740056774	0.007212732	Yes
AT1G03780	-0.634832023	0.025532363	Yes
AT1G03900	0.389174181	0.013598062	Yes
AT1G03970	0.404280861	0.018671122	Yes
AT1G04120	-0.338162771	0.000168113	Yes
AT1G04250	0.47151461	0.014307095	Yes
AT1G04630	0.380860978	0.031788615	Yes
AT1G04730	-0.336653769	0.040973066	Yes
AT1G04800	-1.524335125	0.023130954	Yes
AT1G05070	0.434432868	0.003155688	Yes
AT1G05135	-1.210518712	0.014682602	Yes
AT1G05150	-0.235722315	0.031788615	Yes
AT1G05230	-0.296443235	0.038299375	Yes
AT1G05440	-1.237901667	0.001526629	Yes
AT1G05460	-0.327563524	0.0185038	Yes
AT1G05805	0.512230637	0.002861221	Yes
AT1G05950	-0.510025875	0.040364603	Yes
AT1G06090	-1.777196489	0.044921262	Yes
AT1G06180	-0.534034721	0.012826914	Yes
AT1G06450	0.396336505	0.021044477	Yes
AT1G06510	0.397303206	0.009892176	Yes
AT1G06550	-0.425995295	0.000370863	Yes
AT1G06590	-0.403983562	0.035461234	Yes
AT1G06760	0.664583664	4.82E-05	Yes
AT1G06900	-0.205406931	0.042041429	Yes
AT1G07090	1.241033019	0.000346949	Yes
AT1G07128	1.173540851	0.000115199	Yes
AT1G07130	1.108089584	0.00017373	Yes
AT1G07240	0.592482424	0.000900173	Yes
AT1G07250	0.691698741	0.0001984	Yes
AT1G07560	-1.321258723	0.039208963	Yes
AT1G07705	-0.213793243	0.03261371	Yes
AT1G08030	-0.268866434	0.027828114	Yes
AT1G08250	0.728104595	0.027009392	Yes
AT1G08315	1.42063793	0.000211341	Yes
AT1G08390	0.607167972	0.019726419	Yes
AT1G08480	0.390685149	0.040364603	Yes
AT1G08560	-0.533206196	0.020894731	Yes
AT1G08580	-0.380539434	0.041240389	Yes
AT1G08770	0.556719234	0.010158221	Yes
AT1G08880	0.610351646	0.000489962	Yes
AT1G08930	0.60029549	0.029737223	Yes
AT1G08940	0.953334722	0.008206439	Yes
AT1G08980	0.557807139	0.016091443	Yes
AT1G09070	1.181956806	0.000981316	Yes
AT1G09250	0.658347621	0.000428739	Yes
AT1G09470	-0.763894022	0.001972694	Yes
AT1G09770	-0.203835735	0.037936393	Yes
AT1G09810	-0.341990482	0.043164557	Yes
AT1G09950	1.977297471	0.045002197	Yes
AT1G10750	-1.159097718	0.000979496	Yes
AT1G10760	0.39680874	0.035596887	Yes
AT1G10780	-0.651327275	0.038302835	Yes
AT1G10960	0.665105832	0.014586648	Yes
AT1G11050	0.71716216	0.022515091	Yes
AT1G11120	-1.20487838	0.041806426	Yes
AT1G11160	-0.612784663	0.035613998	Yes
AT1G11210	1.347604793	7.26E-07	Yes
AT1G11360	0.452000416	0.001031918	Yes
AT1G11420	-1.367250172	0.000122981	Yes
AT1G11650	0.285873895	0.004419465	Yes
AT1G11700	0.940393644	0.00100467	Yes
AT1G12310	0.68699917	0.000320668	Yes
AT1G12410	0.23523464	0.033495283	Yes
AT1G12610	3.703934642	0.042644359	Yes
AT1G12760	0.321947665	0.009886354	Yes
AT1G12830	-0.621073411	0.011124375	Yes
AT1G13020	-0.581502737	1.18E-05	Yes
AT1G13120	-0.26020149	0.035843103	Yes
AT1G13220	-0.403377371	0.035821762	Yes
AT1G13250	0.524230406	0.025010022	Yes
AT1G13260	0.648120722	0.003893719	Yes
AT1G13360	0.447799994	0.013778022	Yes
AT1G13700	0.477523715	0.041235225	Yes
AT1G13930	1.267283229	4.03E-06	Yes
AT1G13950	0.503494699	0.044274809	Yes
AT1G14120	-0.757625337	0.045460787	Yes
AT1G14570	0.309172805	0.022058315	Yes
AT1G14740	0.403987608	0.004062799	Yes
AT1G15300	-0.575664019	0.00635041	Yes
AT1G15405	2.598590837	0.000974693	Yes
AT1G15520	-1.236445157	0.001023638	Yes
AT1G15940	-0.361642687	0.027092221	Yes
AT1G15950	0.406329963	0.046084576	Yes
AT1G16070	-0.919031758	0.017783179	Yes
AT1G16130	1.137770773	0.025515277	Yes
AT1G16210	0.35385382	0.035480425	Yes
AT1G16300	-0.677331577	0.003742915	Yes
AT1G16330	-0.656797914	0.021426553	Yes
AT1G16500	0.741016774	0.039371354	Yes
AT1G16630	-0.717296884	0.035617007	Yes
AT1G16800	-0.379230344	0.003478372	Yes
AT1G16890	-0.199503865	0.009184829	Yes
AT1G16900	-0.354745351	0.004066755	Yes
AT1G17170	-2.019439427	0.0001984	Yes
AT1G17230	-0.486122478	0.000118171	Yes
AT1G17232	-0.544641104	0.015887946	Yes
AT1G17620	0.608212747	0.009738546	Yes
AT1G17760	-0.231745258	0.040997758	Yes
AT1G18140	-1.582550499	0.008039315	Yes
AT1G18200	1.210628872	0.033412148	Yes
AT1G18210	0.654690656	0.002755667	Yes
AT1G18250	-0.765471095	0.029415531	Yes
AT1G18370	-0.767735635	0.035035803	Yes
AT1G18470	0.358531454	0.035453519	Yes
AT1G18590	-0.509247365	0.043693015	Yes
AT1G19000	0.301228713	0.020238108	Yes
AT1G19020	1.431261872	0.03636031	Yes
AT1G19310	0.669097635	0.000999283	Yes
AT1G19520	-0.306376047	0.04955676	Yes
AT1G19550	-2.150700856	0.000825565	Yes
AT1G19560	-2.239525066	0.001629314	Yes
AT1G19850	-0.904864611	0.006156143	Yes
AT1G19910	0.572730649	0.003464738	Yes
AT1G19920	-0.24770307	0.027828114	Yes
AT1G20010	0.385680816	0.000641974	Yes
AT1G20030	0.858066673	0.021916513	Yes
AT1G20060	-0.876728433	0.001934049	Yes
AT1G20070	0.801716453	0.031065859	Yes
AT1G20110	0.24782279	0.02042151	Yes
AT1G20220	-0.678848057	0.000353169	Yes
AT1G20330	0.341246273	0.037823806	Yes
AT1G20390	1.208637451	0.006477002	Yes
AT1G20440	0.928614641	7.88E-06	Yes
AT1G20450	0.641475101	0.00914863	Yes
AT1G20693	0.431561447	0.00696984	Yes
AT1G20823	1.631753033	0.000878173	Yes
AT1G20930	-0.664193793	0.04790588	Yes
AT1G21010	0.877360939	0.004431763	Yes
AT1G21430	-1.677962687	0.04374178	Yes
AT1G21550	1.557351909	0.00782593	Yes
AT1G21670	0.672203048	0.02231575	Yes
AT1G21680	0.689281374	0.019404126	Yes
AT1G21980	-0.509899029	9.47E-06	Yes
AT1G22190	1.039607341	0.000110112	Yes
AT1G22270	0.852018239	0.000141905	Yes
AT1G22500	0.940516429	0.000370863	Yes
AT1G22570	0.40923116	0.03594826	Yes
AT1G22770	0.442359917	9.84E-05	Yes
AT1G22970	-0.27825251	0.040973066	Yes
AT1G23170	-0.452222861	0.047516165	Yes
AT1G23340	-0.735215876	0.039267992	Yes
AT1G23390	0.972745734	0.001254384	Yes
AT1G23850	-0.808010193	0.049960744	Yes
AT1G23860	0.507539019	0.024855081	Yes
AT1G24070	-1.370847485	0.041235225	Yes
AT1G25220	-0.456185194	0.0027652	Yes
AT1G25275	1.281633192	4.85E-09	Yes
AT1G25560	1.185770605	6.41E-10	Yes
AT1G26110	-0.274267981	0.014254877	Yes
AT1G26190	-0.294802232	0.041384147	Yes
AT1G26330	-0.632391357	0.031464446	Yes
AT1G26380	-1.885378754	0.0164352	Yes
AT1G26420	-1.399251708	0.044003862	Yes
AT1G27130	0.747951121	0.006743805	Yes
AT1G27310	0.617913478	0.000445136	Yes
AT1G27680	-0.4223476	0.026165342	Yes
AT1G27690	0.462286663	0.000528039	Yes
AT1G27730	1.636060447	0.038251721	Yes
AT1G27880	-0.631081435	0.005601545	Yes
AT1G28330	1.161336283	1.62E-06	Yes
AT1G28370	1.700559022	0.027186665	Yes
AT1G29050	0.471347263	0.010584876	Yes
AT1G29260	0.393834128	0.006700729	Yes
AT1G29330	-0.564738888	0.028564547	Yes
AT1G29390	0.578580836	0.004667856	Yes
AT1G29630	-0.585679229	0.000830519	Yes
AT1G29690	0.605971019	0.042632892	Yes
AT1G29790	0.377617976	0.025593101	Yes
AT1G29810	-3.284289725	1.60E-26	Yes
AT1G29820	-0.459367251	0.010003701	Yes
AT1G29890	-0.220087255	0.02042151	Yes
AT1G30070	-0.346674937	0.024701395	Yes
AT1G30200	0.370132476	0.001123563	Yes
AT1G30400	-0.203236157	0.005049581	Yes
AT1G30490	-0.345301367	0.001877047	Yes
AT1G30500	-1.359346051	2.98E-11	Yes
AT1G30510	-1.00776547	4.99E-09	Yes
AT1G30515	-1.94595776	0.008204931	Yes
AT1G30700	-2.469504763	0.000489962	Yes
AT1G31120	-0.374980553	0.039380518	Yes
AT1G31290	1.08926238	0.038764528	Yes
AT1G31350	0.906567173	0.011000527	Yes
AT1G31770	-0.960295265	0.004556713	Yes
AT1G31850	0.301689983	0.025145883	Yes
AT1G31930	-0.270551102	0.008765859	Yes
AT1G32750	-0.229409116	0.003146255	Yes
AT1G32920	1.078153246	0.025113462	Yes
AT1G32940	-0.614849058	0.001236647	Yes
AT1G33030	-1.200393405	0.023966078	Yes
AT1G33770	0.901649374	0.045449182	Yes
AT1G34100	0.985272545	0.041544419	Yes
AT1G35140	1.617107987	0.039208963	Yes
AT1G35910	-1.484059693	0.024128938	Yes
AT1G36060	0.840673922	0.031813625	Yes
AT1G36940	0.737485575	0.039401713	Yes
AT1G36980	0.445161784	0.003464738	Yes
AT1G43190	-0.309649351	0.004629297	Yes
AT1G43590	2.539630866	0.00657599	Yes
AT1G43650	-0.812030448	0.00696984	Yes
AT1G43690	-0.218351652	0.031788615	Yes
AT1G44110	-0.682933305	0.032874067	Yes
AT1G44900	-0.408250381	0.035408454	Yes
AT1G45230	0.346167365	0.033412148	Yes
AT1G47840	-0.898959613	0.0131431	Yes
AT1G48120	-0.344452274	0.046393067	Yes
AT1G48850	-0.243363437	0.00914863	Yes
AT1G48960	0.67506361	0.00432595	Yes
AT1G49140	0.34110772	0.01655993	Yes
AT1G49170	0.747774137	0.012033888	Yes
AT1G49700	1.057888586	0.007714263	Yes
AT1G49720	0.408169381	0.001023638	Yes
AT1G49780	1.027198794	5.13E-10	Yes
AT1G49870	-0.673039449	0.040973066	Yes
AT1G49910	-0.678041201	0.049921848	Yes
AT1G50240	-0.722098522	0.019880707	Yes
AT1G50360	-0.278722061	0.015723478	Yes
AT1G50490	-0.517509271	0.030692794	Yes
AT1G50640	0.704661154	4.06E-05	Yes
AT1G51360	0.556779152	0.008048596	Yes
AT1G51610	0.398830732	0.000338521	Yes
AT1G51700	0.657154675	0.027579484	Yes
AT1G52160	-0.29799327	0.025390296	Yes
AT1G52342	1.172213433	0.009616351	Yes
AT1G52410	-0.9374815	0.044048934	Yes
AT1G52700	-1.286827724	0.043572964	Yes
AT1G53140	-0.643754357	0.042544844	Yes
AT1G53450	0.270775726	0.008039315	Yes
AT1G53480	-3.086440259	0.010678314	Yes
AT1G53490	-2.765570271	1.02E-15	Yes
AT1G53500	-0.218080383	0.033412148	Yes
AT1G53700	1.004085373	0.037075061	Yes
AT1G53830	2.145309982	0.025217468	Yes
AT1G55160	0.40727745	0.037823806	Yes
AT1G55310	0.345235388	0.017957713	Yes
AT1G55330	0.595794396	0.013767393	Yes
AT1G55360	-0.359451587	0.035762295	Yes
AT1G55675	0.454636223	0.035823642	Yes
AT1G55690	-0.326828047	0.008204931	Yes
AT1G56150	1.542599259	0.000588104	Yes
AT1G56220	0.771765417	0.000244314	Yes
AT1G56300	0.419717304	0.041235225	Yes
AT1G58340	-1.419478159	0.000219626	Yes
AT1G58360	-0.476798393	0.043515413	Yes
AT1G58380	-0.525654864	0.017577067	Yes
AT1G59540	-0.761418376	0.021328287	Yes
AT1G59610	0.164913245	0.040997758	Yes
AT1G59890	-0.21607142	0.048821986	Yes
AT1G59910	0.732102602	0.017957713	Yes
AT1G60270	-0.831337581	0.007252142	Yes
AT1G61210	-0.331039985	0.001629314	Yes
AT1G62040	0.28529321	0.049465955	Yes
AT1G62050	0.387105868	0.042544844	Yes
AT1G62380	-0.274007131	0.041728207	Yes
AT1G62422	0.660720437	0.00771296	Yes
AT1G62790	0.83535763	0.00914863	Yes
AT1G63010	-0.267503585	0.044255295	Yes
AT1G63020	-0.58052133	0.009003608	Yes
AT1G63100	-0.837405996	0.008925969	Yes
AT1G63440	-0.778204849	0.010941234	Yes
AT1G63640	-0.413749527	0.009909935	Yes
AT1G63830	0.569588092	0.005539491	Yes
AT1G64380	1.206158966	0.041676624	Yes
AT1G64570	-0.214723031	0.033724198	Yes
AT1G64580	-0.367030262	0.049162856	Yes
AT1G64840	-0.391051494	0.015182017	Yes
AT1G65060	-0.704011316	0.005067922	Yes
AT1G65440	-0.214034611	0.003203066	Yes
AT1G65690	-1.556708426	0.03378602	Yes
AT1G66540	0.928207136	0.013383537	Yes
AT1G66580	-0.389061874	0.043820482	Yes
AT1G66700	-1.789555663	0.04030018	Yes
AT1G66725	-0.716392749	0.029415531	Yes
AT1G66890	0.904371998	0.002254306	Yes
AT1G67105	4.157510857	5.86E-27	Yes
AT1G67230	-0.296410232	0.049181483	Yes
AT1G67340	0.376832763	0.031788615	Yes
AT1G67630	-0.458073599	0.030667562	Yes
AT1G68050	0.787309976	0.000515389	Yes
AT1G68100	0.271513484	0.027237895	Yes
