tissue,locus,Symbol,transcript_id,flight_direction,cax22_flight_log2FC,cax23_flight_log2FC,cax23_padj
root,AT1G53480,-,AT1G53480.2,down,-3.4237353743813315,-5.4814825155,0.001377493
root,AT1G26390,FAD-binding,AT1G26390.1,down,-2.7050798415082276,-11.38727721,0.031116821
root,AT5G64810,WRKY51,AT5G64810.1,down,-1.2873065907456838,-3.074904076,0.008388546
root,AT3G47380,invertase,AT3G47380.1,down,-1.2368004318955692,-2.260544416,5.8e-05
root,AT3G25730,AP2,AT3G25730.1,down,-0.716518409714495,-1.182362266,0.007136943
root,AT5G64240,MC3,AT5G64240.1,down,-0.6514569425566104,-1.0458507185,0.022504454
root,AT5G22090,-,AT5G22090.1,down,-0.5541640357818656,-1.1687980815,0.001124316
root,AT2G34430,LHB1B1,AT2G34430.1,up,6.82016145733948,10.99348013,2.84e-15
root,AT3G01500,SABP3,AT3G01500.3,up,6.757124543842258,10.58211773,9.91e-36
root,AT5G38420,ATS2B,AT5G38420.1,up,6.3118199244167945,10.20732974,1.62e-35
root,AT5G26000,TGG1,AT5G26000.1,up,6.2209392734296545,13.9080046,1.39e-31
root,AT5G20630,GLP3B,AT5G20630.1,up,6.185624280049641,13.20597122,8.45e-17
root,AT5G25980,TGG2,AT5G25980.2,up,5.663591903936566,13.223263459999998,1.6700000000000002e-21
root,AT2G10940,LTP,AT2G10940.1,up,5.3493708360121675,11.690519590000001,1.17e-35
root,AT4G26530,fructose-bisphosphate aldolase,AT4G26530.2,up,5.179321395402203,10.10033236,4.49e-25
root,AT3G14210,ESM1,AT3G14210.1,up,5.161235321956569,10.11697012,1.08e-40
root,AT5G38410,ATS3B,AT5G38410.1,up,5.018906664386113,8.504877607666666,3.84e-30
root,AT5G38430,ATS1B,AT5G38430.1,up,4.965845908455365,8.430175492,6.08e-25
root,AT4G23600,JR2,AT4G23600.1,up,4.961350870680428,10.83550857,7.71e-11
root,AT3G05730,-,AT3G05730.1,up,4.888303766388311,10.85820574,1.99e-37
root,AT5G65730,glucosyl transferase,AT5G65730.1,up,4.753421412599442,10.19639437,1.1299999999999999e-30
root,AT1G31580,ECS1,AT1G31580.1,up,4.63130924798193,7.062637635,6.71e-18
root,AT1G29920,CAB2,AT1G29920.1,up,4.607668958623632,8.594719039,2.95e-21
root,AT3G63160,-,AT3G63160.1,up,4.564826472750319,7.842990173,2.9e-16
root,AT5G42530,-,AT5G42530.1,up,4.34473141033222,5.53339195,6.15e-12
root,AT2G25510,-,AT2G25510.2,up,4.261389960843464,6.1486295985,2.96e-11
root,AT3G45140,LOX2,AT3G45140.1,up,4.119229015499035,10.85602154,1.43e-12
root,AT1G29910,CAB3,AT1G29910.1,up,3.869428470314667,7.30719723,2.46e-17
root,AT5G49730,FRO6,AT5G49730.1,up,3.714428572042349,9.223850719,9.309999999999999e-23
root,AT1G70820,phosphoglucomutase,AT1G70820.1,up,3.7074674216706924,7.825577016,1.75e-18
root,AT2G20570,GPRI1,AT2G20570.2,up,3.6622663967058386,6.662665587999999,1.73e-15
root,AT3G62550,USP,AT3G62550.1,up,3.516864770489253,7.37219093,3.05e-11
root,AT3G16670,-,AT3G16670.1,up,3.5057707995119483,9.653624053,3.44e-21
root,AT1G32080,membrane,AT1G32080.1,up,3.5033976191185183,7.865499974,1e-25
root,AT2G05070,LHCB2,AT2G05070.1,up,3.496189956120347,6.972058005,1.15e-15
root,AT3G05727,-,AT3G05727.1,up,3.4875875876939997,8.873588772,9.45e-07
root,AT3G15840,PIFI,AT3G15840.5,up,3.4481123031917904,8.2823005364,1.42e-26
root,AT4G18970,lipase,AT4G18970.1,up,3.444614717289438,7.3526160595,2.14e-21
root,AT2G27385,-,AT2G27385.3,up,3.4079652244694185,10.363369326666666,4.6e-25
