genotype,tissue,gene,symbol,lasso_coef,selection_freq,in_deseq2_DEG
rbohD,root,AT1G26390,FAD-binding,0.0065,1.0,True
rbohD,root,AT4G31970,CYP82C2,0.0064,1.0,True
rbohD,root,AT2G41810,,0.0063,1.0,True
rbohD,root,AT1G12950,MATE efflux,0.0062,1.0,False
rbohD,root,AT1G29290,,0.0062,1.0,True
rbohD,root,AT1G45020,transposable element gene,-0.0062,1.0,True
rbohD,root,AT2G31083,CLE5,-0.006,1.0,True
rbohD,root,AT2G33770,UBC24,-0.006,1.0,False
rbohD,root,AT2G30660,hydrolase,0.0059,1.0,True
rbohD,root,AT2G33990,,-0.0059,1.0,False
rbohD,root,AT2G28270,DC1,-0.0058,1.0,True
rbohD,root,AT1G08090,NRT2;1AT,0.0057,1.0,True
rbohD,root,AT5G07570,glycine/proline-rich,-0.0057,1.0,True
rbohD,root,AT3G47420,glycerol 3-phosphate permease,0.0056,1.0,True
rbohD,root,AT5G27200,ACP5,-0.0056,1.0,False
rbohD,root,AT1G10120,TF,-0.0056,1.0,False
rbohD,root,AT4G01630,HEXP ALPHA 1.13,0.0055,1.0,False
rbohD,root,AT2G39450,MTP11,-0.0055,1.0,False
rbohD,root,AT5G38910,germin-like,0.0055,1.0,True
rbohD,root,AT1G02850,BGLU11,0.0054,1.0,True
rbohD,root,AT3G28510,AAA-type ATPase,0.0054,1.0,True
rbohD,root,AT1G62800,,-0.0054,1.0,False
rbohD,root,AT3G44300,NIT2,0.0053,1.0,False
rbohD,root,AT5G48180,NSP5,0.0052,1.0,False
rbohD,root,AT2G30750,CYP71A12,0.0052,1.0,True
rbohD,root,AT3G10870,MES17,-0.0052,1.0,True
rbohD,root,AT1G26380,FAD-binding,0.0052,1.0,True
rbohD,root,AT5G58010,,0.0052,1.0,False
rbohD,root,AT5G13320,WIN3,0.0051,1.0,True
rbohD,root,AT1G17170,GST,0.0051,1.0,False
rbohD,root,AT4G07960,CSLC12,0.0051,1.0,True
rbohD,root,AT5G42590,,-0.0051,1.0,False
rbohD,root,AT4G05020,NDB2,0.0051,1.0,False
rbohD,root,AT2G15490,UGT73B4,0.005,1.0,True
rbohD,root,AT1G01650,aspartic-type endopeptidase/ peptidase,0.0049,1.0,False
rbohD,root,AT1G14540,anionic peroxidase,0.0049,1.0,True
rbohD,root,AT4G15330,CYP705A1,-0.0048,1.0,False
rbohD,root,AT3G47965,,-0.0048,1.0,False
rbohD,root,AT3G59140,MRP14,0.0047,1.0,False
rbohD,root,AT1G30270,SnRK3.23,-0.0047,1.0,False
rbohD,root,AT4G22070,WRKY31,0.0047,1.0,True
rbohD,root,AT5G26920,CBP60G,0.0047,1.0,True
rbohD,root,AT1G61130,SCPL32,0.0045,1.0,True
rbohD,root,AT4G13420,,-0.0044,1.0,True
rbohD,root,AT4G34230,,0.0044,1.0,False
rbohD,root,AT5G51830,,0.0044,1.0,False
rbohD,root,AT1G26410,FAD-binding,0.0044,1.0,True
rbohD,root,AT3G02000,,0.0044,1.0,False
rbohD,root,AT4G13620,,-0.0044,1.0,False
rbohD,root,AT1G13520,,0.0043,1.0,True
rbohD,root,AT5G44680,methyladenine glycosylase,-0.0043,1.0,False
rbohD,root,AT4G30270,SEN4,-0.0043,1.0,False
rbohD,root,AT5G64110,peroxidase,0.0042,1.0,True
rbohD,root,AT5G53190,nodulin MtN3,-0.0042,1.0,True
rbohD,root,AT2G39010,PIP2E,-0.0041,1.0,False
rbohD,root,AT5G45850,,-0.0041,1.0,False
rbohD,root,AT2G04025,,-0.0041,1.0,False
rbohD,root,AT3G09680,RPS23A,0.0041,1.0,False
rbohD,root,AT4G32950,PP2C,0.0041,1.0,True
rbohD,root,AT4G21990,PRH26,0.0041,1.0,False
rbohD,root,AT5G63790,ANAC102,0.0041,1.0,False
rbohD,root,AT1G05650,pectinase,0.004,1.0,True
rbohD,root,AT5G11110,,0.004,1.0,False
rbohD,root,AT1G05680,glucosyl transferase,0.004,1.0,True
rbohD,root,AT3G05400,sugar transporter,0.004,1.0,True
rbohD,root,AT4G36730,,-0.004,1.0,False
rbohD,root,AT5G64120,,0.0039,1.0,False
rbohD,root,AT1G76620,,-0.0039,1.0,True
rbohD,root,AT3G12500,PR3,0.0039,1.0,False
rbohD,root,AT3G63380,ACA12,0.0039,1.0,True
rbohD,root,AT2G34350,nodulin,-0.0038,1.0,True
rbohD,root,AT4G40070,protein binding,-0.0038,1.0,True
rbohD,root,AT1G58320,,0.0038,1.0,True
rbohD,root,AT2G40490,,-0.0037,1.0,False
rbohD,root,AT1G33750,terpene synthase/cyclase,-0.0036,1.0,False
rbohD,root,AT1G62180,PRH43,0.0036,1.0,False
rbohD,root,AT4G14630,GLP9,0.0035,1.0,True
rbohD,root,AT5G07200,YAP169,0.0035,1.0,True
