Transcript ID	Locus ID	Entrez Arabidopsis ID	rbohD_Root_baseMeanB_GC	rbohD_Root_baseMeanA_FL	rbohD_Root_log2FoldChange	rbohD_Root_pval	rbohD_Root_padj	Symbol
AT1G01580.1	AT1G01580	839411	130.8436776	26.45860869	2.306035109	0.039094768	1	FRO2
AT1G01650.1	AT1G01650	839499	1241.418862	886.1312327	0.486397694	0.041240529	1	aspartic-type endopeptidase/ peptidase
AT1G01650.2	AT1G01650	839499	1222.711984	874.8983684	0.482897268	0.042434958	1	aspartic-type endopeptidase/ peptidase
AT1G01680.1	AT1G01680	839251	6.209785376	0.31567349	4.298038393	0.023405185	1	U-box
AT1G01720.1	AT1G01720	839265	724.4473459	457.5602119	0.662919231	0.042325789	1	ATAF1
AT1G02520.1	AT1G02520	839353	797.5747025	379.5957089	1.071155967	0.003627907	0.576899523	PGP11
AT1G02530.1	AT1G02530	839282	83.5465855	36.00311321	1.214459205	0.001304761	0.298411763	PGP12
AT1G02850.1	AT1G02850	839435	576.5688231	79.1077528	2.865601833	3.24E-07	0.000577367	BGLU11
AT1G02850.2	AT1G02850	839435	584.6747611	80.8509912	2.854296949	3.27E-07	0.000577367	BGLU11
AT1G02850.3	AT1G02850	839435	577.0813363	79.32680755	2.862894278	3.21E-07	0.000577367	BGLU11
AT1G02850.4	AT1G02850	839435	573.5952286	79.3714748	2.853340506	3.22E-07	0.000577367	BGLU11
AT1G02850.5	AT1G02850	839435	573.4932614	79.3714748	2.853084017	3.21E-07	0.000577367	BGLU11
AT1G02920.1	AT1G02920	839295	1034.955998	292.2726194	1.824182846	0.027855413	1	GSTF7
AT1G02930.1	AT1G02930	839515	656.8667379	159.3404237	2.043488397	0.010841813	1	GSTF6
AT1G02930.2	AT1G02930	839515	651.4887845	158.3981382	2.040184965	0.010859214	1	GSTF6
AT1G04770.1	AT1G04770	839418	402.1152164	266.5947232	0.592960705	0.02373615	1	male sterility MS5
AT1G05560.1	AT1G05560	837058	107.0923752	63.98262571	0.743103662	0.038562896	1	UGT75B1
AT1G05562.1	AT1G05562	10723102	104.0621079	62.60925814	0.732996925	0.043632667	1	-
AT1G05650.1	AT1G05650	837072	90.3260462	5.535781484	4.028283159	2.54E-09	1.88E-05	pectinase
AT1G05680.1	AT1G05680	837075	156.0656362	26.40299422	2.563379456	0.00029445	0.11858333	glucosyl transferase
AT1G05835.1	AT1G05835	5007665	56.78129247	91.48541254	-0.688126034	0.019226419	1	-
AT1G05880.1	AT1G05880	837098	21.29228512	0.798767212	4.736411866	8.03E-06	0.006650076	binding
AT1G05880.2	AT1G05880	837098	22.42152323	0.798767212	4.810965368	6.63E-06	0.005850314	binding
AT1G07550.1	AT1G07550	837269	12.50758163	78.11767618	-2.642846166	0.009886907	1	kinase
AT1G07620.1	AT1G07620	837275	30.05126895	61.18457722	-1.025742127	0.028288602	1	-
AT1G08050.1	AT1G08050	837321	119.2287681	69.74755645	0.773517799	0.014329864	1	zinc finger
AT1G08090.1	AT1G08090	837327	731.4436667	55.299024	3.725420834	2.70E-06	0.003330634	NRT2;1AT
AT1G08430.1	AT1G08430	837363	451.3010465	2582.125115	-2.516396878	0.000215767	0.097940402	ALMT1
AT1G08650.1	AT1G08650	837387	1412.542455	947.6091966	0.575930124	0.019609235	1	PPCK1
AT1G08650.2	AT1G08650	837387	1222.276109	827.6919741	0.56240435	0.022688492	1	PPCK1
AT1G10530.1	AT1G10530	837594	46.45633321	83.18195256	-0.840395263	0.022315857	1	-
AT1G11080.1	AT1G11080	837649	1594.897888	817.0982954	0.964882512	0.012082964	1	scpl31
AT1G11080.2	AT1G11080	837649	1580.463013	810.0404423	0.96428143	0.01223906	1	scpl31
AT1G11530.1	AT1G11530	837696	31.61984147	57.67001701	-0.866991313	0.015001035	1	CXXS1
AT1G12110.1	AT1G12110	837763	1684.432186	4422.061203	-1.392456645	9.50E-09	4.40E-05	NRT1
AT1G12200.1	AT1G12200	837773	986.3974024	558.9855571	0.819357993	0.022902656	1	FMO
AT1G13080.1	AT1G13080	837865	174.9602697	331.6992479	-0.922848392	0.002011809	0.409207684	CYP71B2
AT1G13080.2	AT1G13080	837865	176.914147	334.8820238	-0.920603517	0.002054036	0.413609091	CYP71B2
AT1G13310.1	AT1G13310	837891	10.1787965	3.106998761	1.711973421	0.011965049	1	-
AT1G13520.1	AT1G13520	837912	75.71996872	25.6235711	1.56320226	0.043049835	1	-
AT1G13750.1	AT1G13750	837935	281.7790195	186.0211	0.599097924	0.03351106	1	phosphoesterase
AT1G14440.1	AT1G14440	838006	5.547040605	2.122625776	1.385868243	0.037016768	1	HB31
AT1G14440.2	AT1G14440	838006	5.444253123	2.122625776	1.358884102	0.043538421	1	HB31
AT1G14520.1	AT1G14520	838014	22.04464656	43.48557355	-0.980108516	0.02765603	1	MIOX1
AT1G14520.2	AT1G14520	838014	21.83885523	42.00393163	-0.943627139	0.032966753	1	MIOX1
AT1G16170.1	AT1G16170	838186	198.7397723	286.7469474	-0.528897511	0.045292333	1	-
AT1G16930.1	AT1G16930	838264	156.7218234	240.9830422	-0.620725541	0.018802194	1	F-box
AT1G17170.1	AT1G17170	838288	556.4926687	197.7417064	1.492745494	7.25E-05	0.041182868	GST
AT1G17180.1	AT1G17180	838289	345.9449486	88.78790833	1.962107355	0.006055996	0.795676222	GSTU25
AT1G18870.1	AT1G18870	838468	708.7147296	333.8286611	1.08609721	0.045889987	1	ICS2
AT1G18870.2	AT1G18870	838468	667.1698236	308.976428	1.110557258	0.041766739	1	ICS2
AT1G18970.1	AT1G18970	838478	186.0335822	42.54572293	2.128477064	0.000946236	0.245167877	GLP4
AT1G19390.1	AT1G19390	838522	0.359876786	2.69511417	-2.90477144	0.03820715	1	kinase
AT1G19670.1	AT1G19670	838554	2.467593862	10.12635454	-2.036938033	0.011752482	1	CORI1
AT1G20840.1	AT1G20840	838676	3219.758169	5013.577273	-0.638888025	0.038537624	1	TMT1
AT1G21120.1	AT1G21120	838708	293.6597344	160.3585263	0.872844398	0.039974229	1	methyltransferase
AT1G21130.1	AT1G21130	838709	202.8845843	118.4418153	0.776480742	0.04219713	1	methyltransferase
AT1G21130.2	AT1G21130	838709	171.9054144	90.39882124	0.927239119	0.016908922	1	methyltransferase
AT1G21240.1	AT1G21240	838719	4.725540667	0.490121154	3.269269081	0.015769207	1	WAK3
AT1G21320.1	AT1G21320	838729	14.25406659	4.862724178	1.551536902	0.002481946	0.474013334	nucleotide binding
AT1G21320.2	AT1G21320	838729	13.48673337	4.056929534	1.733080805	0.001091302	0.260863445	nucleotide binding
AT1G22500.1	AT1G22500	838856	271.0232284	559.8199289	-1.046546341	0.003038224	0.531948729	zinc finger
AT1G22590.1	AT1G22590	838865	3.287311369	6.855342408	-1.060320614	0.041187337	1	AGL87
AT1G23500.1	AT1G23500	838958	13.46943235	5.849222673	1.203372235	0.032569767	1	lipase
AT1G24540.1	AT1G24540	839069	0	0.605529723	-	0.044813082	1	CYP86C1
AT1G24793.1	AT1G24793	839084	13.0325356	1.043639214	3.642422838	0.013469234	1	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
AT1G24793.2	AT1G24793	839084	13.0325356	1.043639214	3.642422838	0.013232286	1	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
AT1G25425.1	AT1G25425	28717267	5.854240423	13.08380244	-1.160227979	0.01984367	1	CLE43
AT1G26240.1	AT1G26240	839165	14.58032188	1.498366398	3.282560212	0.000936042	0.245167877	extensin
AT1G26380.1	AT1G26380	839180	60.21404864	2.035387104	4.886725016	0.000497154	0.15879367	FAD-binding
AT1G26390.1	AT1G26390	839181	238.1873226	0.753843151	8.303616535	0.000433821	0.15163673	FAD-binding
AT1G26410.1	AT1G26410	839183	15.65796685	0.289856233	5.755415572	0.003195477	0.5456019	FAD-binding
AT1G26420.1	AT1G26420	839184	32.16869362	4.838612052	2.732992172	0.004029861	0.618130289	FAD-binding
AT1G27020.1	AT1G27020	839591	256.3945803	535.822951	-1.063390611	0.004473547	0.665660271	-
AT1G27565.1	AT1G27565	5007731	5.30311483	0.242639701	4.449952458	5.43E-06	0.005110274	-
AT1G29290.1	AT1G29290	28717277	12.69548723	3.307444193	1.940527045	0.003880208	0.604057156	-
AT1G29730.1	AT1G29730	839851	109.6302553	62.80375079	0.803723374	0.004609615	0.672404945	kinase
AT1G29740.1	AT1G29740	839852	57.22015243	13.91770681	2.03960182	3.93E-06	0.003937067	kinase
AT1G30260.1	AT1G30260	839906	8.372145274	20.80450318	-1.313226586	0.002288895	0.446346548	-
AT1G30270.1	AT1G30270	839907	1378.495099	2275.871081	-0.723324699	0.018241792	1	SnRK3.23
AT1G30730.1	AT1G30730	839953	242.4758007	68.16767364	1.830681118	0.000425275	0.15163673	FAD-binding
AT1G32350.1	AT1G32350	840127	5.826145332	0	Inf	0.001238068	0.28669775	AOX1D
AT1G32940.1	AT1G32940	840188	286.4643597	155.4369199	0.88202644	0.006594903	0.842578514	SBT3.5
AT1G32960.1	AT1G32960	840190	17.0206939	3.804262249	2.161601246	0.025279503	1	SBT3.3
AT1G33030.1	AT1G33030	840198	15.07718689	2.240386986	2.750547417	0.000654311	0.197574111	methyltransferase
AT1G33440.1	AT1G33440	840237	248.5309013	156.8437144	0.664097528	0.0159337	1	POT
AT1G33610.1	AT1G33610	840255	70.06305479	44.36884799	0.659106797	0.047436592	1	protein binding
AT1G34460.1	AT1G34460	840348	33.31281462	22.38871998	0.573305205	0.048931435	1	CYCB1;5
AT1G34460.2	AT1G34460	840348	35.41708387	23.6137275	0.584819637	0.040328107	1	CYCB1;5
AT1G35290.1	AT1G35290	840418	2.368137159	6.625578682	-1.484293823	0.049729927	1	thioesterase
AT1G43590.1	AT1G43590	840943	1.186156524	3.330578278	-1.48947829	0.007375142	0.910854584	transposable element gene
AT1G44030.1	AT1G44030	841003	8.180519521	33.18721909	-2.020363372	0.037506055	1	DC1
AT1G44130.1	AT1G44130	841016	12.99317198	0.614849626	4.401376251	0.000301385	0.118793711	nucellin
AT1G45015.1	AT1G45015	841067	34.15736232	133.4640855	-1.966183095	0.034244378	1	ML
AT1G45015.2	AT1G45015	841067	34.00267296	132.6395477	-1.963790925	0.034049562	1	ML
AT1G45020.1	AT1G45020	3767349	2.110685144	14.56835465	-2.787054659	0.028727071	1	transposable element gene
AT1G45616.1	AT1G45616	841101	7.809954277	24.31380047	-1.63838941	0.002509386	0.476796176	RLP6
AT1G47370.1	AT1G47370	841140	0	0.822141978	-	0.018363721	1	TIR
AT1G48000.1	AT1G48000	841218	9.402535061	2.850441481	1.721864398	0.035265668	1	MYB112
AT1G48800.1	AT1G48800	841302	59.13458945	32.48172299	0.864374087	0.038285201	1	terpene synthase/cyclase
AT1G49030.1	AT1G49030	841326	33.86850348	13.61473053	1.314775814	0.037167916	1	-
AT1G49370.1	AT1G49370	3767414	0.873859389	4.139750226	-2.244070662	0.003095058	0.538380196	-
AT1G49500.1	AT1G49500	841374	308.9424781	483.2002787	-0.645283039	0.018822159	1	-
AT1G49750.1	AT1G49750	841398	130.6752231	76.76886645	0.767392371	0.049313734	1	LRR
AT1G49975.1	AT1G49975	841421	6.477239329	12.59158966	-0.959009475	0.020091643	1	-
AT1G51340.1	AT1G51340	841557	64.65793749	115.9710361	-0.842865142	0.002564159	0.479853949	MATE efflux
AT1G51340.2	AT1G51340	841557	64.65793749	115.9710361	-0.842865142	0.002563661	0.479853949	MATE efflux
AT1G51420.1	AT1G51420	841567	288.012783	114.2862214	1.333481366	0.003431666	0.567239354	SPP1
AT1G51750.1	AT1G51750	3767436	0.822757423	3.49576621	-2.087069662	0.037852839	1	transposable element gene
AT1G51820.1	AT1G51820	841609	15.30057308	38.26622662	-1.322485956	0.040982845	1	kinase
AT1G51830.1	AT1G51830	841610	88.18321706	623.7689479	-2.82243572	0.021241461	1	kinase
AT1G51840.1	AT1G51840	841611	39.37279622	276.9607473	-2.814410442	0.016467852	1	kinase
AT1G51920.1	AT1G51920	841620	3.130765078	0.242639701	3.689627728	0.011648616	1	-
AT1G52070.1	AT1G52070	841636	54.87519813	241.0857	-2.135319931	0.038511186	1	jacalin lectin
AT1G52342.1	AT1G52342	28717346	19.59985463	9.884726646	0.987569979	0.042174763	1	-
AT1G52343.1	AT1G52343	6241332	5.390523615	0.504176018	3.418426017	0.011129212	1	-
AT1G53610.1	AT1G53610	841796	6.173320627	0.727965724	3.084104295	0.045553613	1	-
AT1G53640.1	AT1G53640	841800	18.47150782	5.884950566	1.650199436	0.04419113	1	-
AT1G54100.1	AT1G54100	841849	3826.266928	2671.73978	0.518158022	0.039217762	1	ALDH7B4
AT1G54100.2	AT1G54100	841849	3806.376727	2653.039697	0.520772093	0.039403772	1	ALDH7B4
AT1G54575.1	AT1G54575	2745830	46.8754871	19.97203955	1.230852014	0.007704435	0.932866033	-
AT1G55230.1	AT1G55230	841966	1.950354975	0.115408569	4.078914475	0.048343746	1	-
AT1G55850.1	AT1G55850	842035	803.0412444	564.0024479	0.509772663	0.037605985	1	CSLE1
AT1G55920.1	AT1G55920	842043	426.6423229	290.4986379	0.554495689	0.020701599	1	SAT5
AT1G56150.1	AT1G56150	842068	3.179964925	0.334463314	3.249090971	0.002469226	0.474013334	auxin-responsive
AT1G57630.1	AT1G57630	842139	5.435164499	0.87392651	2.636739829	0.032049601	1	TIR
AT1G58320.1	AT1G58320	842201	35.149545	1.272284221	4.788013112	0.002231574	0.437471114	-
AT1G59700.1	AT1G59700	842261	32.17710566	16.9096148	0.928190766	0.038537198	1	GSTU16
AT1G60470.1	AT1G60470	842342	215.4510538	82.99322652	1.376294654	0.006305471	0.822619676	GolS4
AT1G60610.1	AT1G60610	842355	160.5666767	250.7782858	-0.643239921	0.020975355	1	protein binding
AT1G60610.2	AT1G60610	842355	155.7862457	244.7217538	-0.651574487	0.02041455	1	protein binding
AT1G60610.3	AT1G60610	842355	155.4760015	243.8407397	-0.649247274	0.021046877	1	protein binding
AT1G60730.1	AT1G60730	842367	437.5249239	222.2626332	0.97709978	0.000478827	0.156013864	aldo/keto reductase
AT1G60730.2	AT1G60730	842367	437.5249239	222.2626332	0.97709978	0.000478911	0.156013864	aldo/keto reductase
AT1G60730.3	AT1G60730	842367	432.175111	218.768251	0.982212609	0.000430035	0.15163673	aldo/keto reductase
